Variable,Variable name,Measurement Unit,Allowed values,Description
Month,Month,mm/dd/yyyy,01/31/1984 to 12/31/2024 ,"The date of the data point, indicating total monthtly data"
Total Solar Energy Consumption,Solar Energy Consumption,Numeric,0-0.119777,"Total solar energy consumption in the given month, in quadrillion BTUs"
